state,district,stage,type,date,schools
Malaysia,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,7776
Malaysia,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,7774
Malaysia,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,7773
Malaysia,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,7780
Malaysia,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,7780
Malaysia,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,7778
Malaysia,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,2416
Malaysia,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,2433
Malaysia,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,2439
Malaysia,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,2440
Malaysia,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,2444
Malaysia,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,2452
Malaysia,All Districts,tertiary,IPTA,2017-01-01,20
Malaysia,All Districts,tertiary,IPTA,2018-01-01,20
Malaysia,All Districts,tertiary,IPTA,2019-01-01,20
Malaysia,All Districts,tertiary,IPTA,2020-01-01,20
Malaysia,All Districts,tertiary,IPTA,2021-01-01,20
Malaysia,All Districts,tertiary,IPTA,2022-01-01,20
Johor,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,906
Johor,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,907
Johor,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,907
Johor,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,906
Johor,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,906
Johor,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,908
Johor,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,277
Johor,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,280
Johor,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,282
Johor,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,283
Johor,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,284
Johor,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,284
Johor,All Districts,tertiary,IPTA,2017-01-01,2
Johor,All Districts,tertiary,IPTA,2018-01-01,2
Johor,All Districts,tertiary,IPTA,2019-01-01,2
Johor,All Districts,tertiary,IPTA,2020-01-01,2
Johor,All Districts,tertiary,IPTA,2021-01-01,2
Johor,All Districts,tertiary,IPTA,2022-01-01,2
Kedah,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,546
Kedah,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,547
Kedah,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,547
Kedah,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,548
Kedah,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,548
Kedah,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,548
Kedah,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,201
Kedah,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,201
Kedah,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,202
Kedah,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,202
Kedah,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,203
Kedah,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,204
Kedah,All Districts,tertiary,IPTA,2017-01-01,1
Kedah,All Districts,tertiary,IPTA,2018-01-01,1
Kedah,All Districts,tertiary,IPTA,2019-01-01,1
Kedah,All Districts,tertiary,IPTA,2020-01-01,1
Kedah,All Districts,tertiary,IPTA,2021-01-01,1
Kedah,All Districts,tertiary,IPTA,2022-01-01,1
Kelantan,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,418
Kelantan,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,418
Kelantan,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,418
Kelantan,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,418
Kelantan,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,418
Kelantan,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,418
Kelantan,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,175
Kelantan,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,177
Kelantan,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,177
Kelantan,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,177
Kelantan,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,178
Kelantan,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,178
Kelantan,All Districts,tertiary,IPTA,2017-01-01,1
Kelantan,All Districts,tertiary,IPTA,2018-01-01,1
Kelantan,All Districts,tertiary,IPTA,2019-01-01,1
Kelantan,All Districts,tertiary,IPTA,2020-01-01,1
Kelantan,All Districts,tertiary,IPTA,2021-01-01,1
Kelantan,All Districts,tertiary,IPTA,2022-01-01,1
Melaka,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,237
Melaka,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,237
Melaka,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,238
Melaka,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,238
Melaka,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,238
Melaka,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,238
Melaka,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,77
Melaka,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,77
Melaka,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,77
Melaka,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,77
Melaka,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,77
Melaka,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,78
Melaka,All Districts,tertiary,IPTA,2017-01-01,1
Melaka,All Districts,tertiary,IPTA,2018-01-01,1
Melaka,All Districts,tertiary,IPTA,2019-01-01,1
Melaka,All Districts,tertiary,IPTA,2020-01-01,1
Melaka,All Districts,tertiary,IPTA,2021-01-01,1
Melaka,All Districts,tertiary,IPTA,2022-01-01,1
Negeri Sembilan,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,350
Negeri Sembilan,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,350
Negeri Sembilan,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,350
Negeri Sembilan,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,352
Negeri Sembilan,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,352
Negeri Sembilan,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,353
Negeri Sembilan,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,125
Negeri Sembilan,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,125
Negeri Sembilan,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,125
Negeri Sembilan,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,125
Negeri Sembilan,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,125
Negeri Sembilan,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,126
Negeri Sembilan,All Districts,tertiary,IPTA,2017-01-01,1
Negeri Sembilan,All Districts,tertiary,IPTA,2018-01-01,1
Negeri Sembilan,All Districts,tertiary,IPTA,2019-01-01,1
Negeri Sembilan,All Districts,tertiary,IPTA,2020-01-01,1
Negeri Sembilan,All Districts,tertiary,IPTA,2021-01-01,1
Negeri Sembilan,All Districts,tertiary,IPTA,2022-01-01,1
Pahang,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,541
Pahang,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,541
Pahang,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,542
Pahang,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,543
Pahang,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,543
Pahang,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,543
Pahang,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,196
Pahang,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,197
Pahang,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,198
Pahang,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,198
Pahang,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,198
Pahang,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,198
Pahang,All Districts,tertiary,IPTA,2017-01-01,1
Pahang,All Districts,tertiary,IPTA,2018-01-01,1
Pahang,All Districts,tertiary,IPTA,2019-01-01,1
Pahang,All Districts,tertiary,IPTA,2020-01-01,1
Pahang,All Districts,tertiary,IPTA,2021-01-01,1
Pahang,All Districts,tertiary,IPTA,2022-01-01,1
Perak,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,852
Perak,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,852
Perak,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,852
Perak,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,852
Perak,All Districts,primary,Sekolah Rendah Kerajaan,2021-01-01,852
Perak,All Districts,primary,Sekolah Rendah Kerajaan,2022-01-01,852
Perak,All Districts,secondary,Sekolah Menengah Kerajaan,2017-01-01,248
Perak,All Districts,secondary,Sekolah Menengah Kerajaan,2018-01-01,250
Perak,All Districts,secondary,Sekolah Menengah Kerajaan,2019-01-01,250
Perak,All Districts,secondary,Sekolah Menengah Kerajaan,2020-01-01,250
Perak,All Districts,secondary,Sekolah Menengah Kerajaan,2021-01-01,250
Perak,All Districts,secondary,Sekolah Menengah Kerajaan,2022-01-01,253
Perak,All Districts,tertiary,IPTA,2017-01-01,1
Perak,All Districts,tertiary,IPTA,2018-01-01,1
Perak,All Districts,tertiary,IPTA,2019-01-01,1
Perak,All Districts,tertiary,IPTA,2020-01-01,1
Perak,All Districts,tertiary,IPTA,2021-01-01,1
Perak,All Districts,tertiary,IPTA,2022-01-01,1
Perlis,All Districts,primary,Sekolah Rendah Kerajaan,2017-01-01,74
Perlis,All Districts,primary,Sekolah Rendah Kerajaan,2018-01-01,74
Perlis,All Districts,primary,Sekolah Rendah Kerajaan,2019-01-01,74
Perlis,All Districts,primary,Sekolah Rendah Kerajaan,2020-01-01,74
