state,Total_Schools,School_Age_Population,Median_Income_RM,Poverty_Rate_Percent,Students_per_School
Johor,2384,982199.9999999999,6879,4.6,412
Kedah,1504,537900,4402,9,358
Kelantan,1192,542600.0000000001,3614,13.2,455
Melaka,632,236200,6210,4.2,374
Negeri Sembilan,958,311800,5226,4.4,325
Pahang,1482,436900,4753,6.3,295
Perak,2210,595499.9999999999,4494,7.5,269
Perlis,208,63400.00000000001,4713,4,305
Pulau Pinang,796,344900.00000000006,6502,2,433
Sabah,2592,987600,4577,19.7,381
Sarawak,2916,554500,4978,10.8,190
Selangor,1880,1527300.0000000002,9983,1.5,812
Terengganu,1012,329500,5878,6.2,326
W.P. Kuala Lumpur,584,400100,10234,1.4,685
W.P. Labuan,56,26300,6904,2.5,470
W.P. Putrajaya,54,42100,10056,0.1,780
