state,district,stage,sex,date,teachers
Malaysia,All Districts,primary,both,2017-01-01,230631
Malaysia,All Districts,primary,both,2018-01-01,238858
Malaysia,All Districts,primary,both,2019-01-01,235534
Malaysia,All Districts,primary,both,2020-01-01,237093
Malaysia,All Districts,primary,both,2021-01-01,235031
Malaysia,All Districts,primary,both,2022-01-01,235232
Malaysia,All Districts,primary,female,2017-01-01,160247
Malaysia,All Districts,primary,female,2018-01-01,168366
Malaysia,All Districts,primary,female,2019-01-01,166072
Malaysia,All Districts,primary,female,2020-01-01,167039
Malaysia,All Districts,primary,female,2021-01-01,166098
Malaysia,All Districts,primary,female,2022-01-01,166663
Malaysia,All Districts,primary,male,2017-01-01,70384
Malaysia,All Districts,primary,male,2018-01-01,70492
Malaysia,All Districts,primary,male,2019-01-01,69462
Malaysia,All Districts,primary,male,2020-01-01,70054
Malaysia,All Districts,primary,male,2021-01-01,68933
Malaysia,All Districts,primary,male,2022-01-01,68569
Malaysia,All Districts,secondary,both,2017-01-01,181633
Malaysia,All Districts,secondary,both,2018-01-01,183476
Malaysia,All Districts,secondary,both,2019-01-01,182432
Malaysia,All Districts,secondary,both,2020-01-01,180178
Malaysia,All Districts,secondary,both,2021-01-01,175987
Malaysia,All Districts,secondary,both,2022-01-01,181134
Malaysia,All Districts,secondary,female,2017-01-01,127192
Malaysia,All Districts,secondary,female,2018-01-01,129247
Malaysia,All Districts,secondary,female,2019-01-01,128974
Malaysia,All Districts,secondary,female,2020-01-01,128192
Malaysia,All Districts,secondary,female,2021-01-01,125773
Malaysia,All Districts,secondary,female,2022-01-01,130496
Malaysia,All Districts,secondary,male,2017-01-01,54441
Malaysia,All Districts,secondary,male,2018-01-01,54229
Malaysia,All Districts,secondary,male,2019-01-01,53458
Malaysia,All Districts,secondary,male,2020-01-01,51986
Malaysia,All Districts,secondary,male,2021-01-01,50214
Malaysia,All Districts,secondary,male,2022-01-01,50638
Johor,All Districts,primary,both,2017-01-01,27087
Johor,All Districts,primary,both,2018-01-01,28311
Johor,All Districts,primary,both,2019-01-01,27640
Johor,All Districts,primary,both,2020-01-01,27795
Johor,All Districts,primary,both,2021-01-01,27438
Johor,All Districts,primary,both,2022-01-01,26783
